SPDX-License-Identifier: GPL-2.0, /home/luyang/Documents/linux//Makefile: 1
That's our default target when none is given on the command line, /home/luyang/Documents/linux//Makefile: 17
We are using a recursive build, so we need to do a little thinking, /home/luyang/Documents/linux//Makefile: 21
to get the ordering right., /home/luyang/Documents/linux//Makefile: 22
their own directory. If in some directory we have a dependency on, /home/luyang/Documents/linux//Makefile: 25
unavoidable when linking the built-in.a targets which finally, /home/luyang/Documents/linux//Makefile: 27
turn into vmlinux), we will call a sub make in that other dir, and, /home/luyang/Documents/linux//Makefile: 28
The only cases where we need to modify files which have global, /home/luyang/Documents/linux//Makefile: 32
effects are thus separated out and done before the recursive, /home/luyang/Documents/linux//Makefile: 33
descending is started. They are now explicitly listed as the, /home/luyang/Documents/linux//Makefile: 34
(this increases performance and avoids hard-to-debug behaviour), /home/luyang/Documents/linux//Makefile: 40
Avoid funny character set dependencies, /home/luyang/Documents/linux//Makefile: 43
---------------------------------------------------------------------------, /home/luyang/Documents/linux//Makefile: 53
that echo $($(quiet)$(cmd)), we now have the possibility to set, /home/luyang/Documents/linux//Makefile: 56
$(quiet) to choose other forms of output instead, e.g., /home/luyang/Documents/linux//Makefile: 57
quiet_cmd_cc_o_c = Compiling $(RELDIR)/$@, /home/luyang/Documents/linux//Makefile: 59
If $(quiet) is empty, the whole command will be printed., /home/luyang/Documents/linux//Makefile: 62
A simple variant is to prefix commands with $(Q) - that's useful, /home/luyang/Documents/linux//Makefile: 67
for commands that shall be hidden in non-verbose mode., /home/luyang/Documents/linux//Makefile: 68
If KBUILD_VERBOSE equals 1 then the above command is displayed., /home/luyang/Documents/linux//Makefile: 73
Use 'make V=1' to see the full commands, /home/luyang/Documents/linux//Makefile: 77
Use 'make C=1' to enable checking of only re-compiled files., /home/luyang/Documents/linux//Makefile: 107
of whether they are re-compiled or not., /home/luyang/Documents/linux//Makefile: 109
See the file "Documentation/dev-tools/sparse.rst" for more details,, /home/luyang/Documents/linux//Makefile: 111
including where to get the "sparse" utility., /home/luyang/Documents/linux//Makefile: 112
Use make M=dir or set the environment variable KBUILD_EXTMOD to specify the, /home/luyang/Documents/linux//Makefile: 123
cd /dir/to/store/output/files; make -f /dir/to/kernel/source/Makefile, /home/luyang/Documents/linux//Makefile: 144
If you want to save output files in a different location, there are, /home/luyang/Documents/linux//Makefile: 146
Use "make O=dir/to/store/output/files/", /home/luyang/Documents/linux//Makefile: 150
export KBUILD_OUTPUT=dir/to/store/output/files/; make, /home/luyang/Documents/linux//Makefile: 154
The O= assignment takes precedence over the KBUILD_OUTPUT environment, /home/luyang/Documents/linux//Makefile: 156
Do we want to change the working directory?, /home/luyang/Documents/linux//Makefile: 159
expand a shell special character '~'. We use a somewhat tedious way here., /home/luyang/Documents/linux//Makefile: 166
$(realpath ...) resolves symlinks, /home/luyang/Documents/linux//Makefile: 171
ifneq ($(KBUILD_OUTPUT),), /home/luyang/Documents/linux//Makefile: 175
Look for make include files relative to root of kernel src, /home/luyang/Documents/linux//Makefile: 192
'MAKEFLAGS += -rR' does not immediately become effective for GNU Make 3.x, /home/luyang/Documents/linux//Makefile: 200
Invoke a second make in the output directory, passing relevant variables, /home/luyang/Documents/linux//Makefile: 217
sub_make_done, /home/luyang/Documents/linux//Makefile: 222
but we want to display it when entering to the output directory, /home/luyang/Documents/linux//Makefile: 228
To make sure we do not include .config for any of the *config targets, /home/luyang/Documents/linux//Makefile: 255
catch them early, and hand them over to scripts/kconfig/Makefile, /home/luyang/Documents/linux//Makefile: 256
It is allowed to specify more targets when calling make, including, /home/luyang/Documents/linux//Makefile: 257
For example 'make oldconfig all'., /home/luyang/Documents/linux//Makefile: 259
Detect when mixed targets is specified, and make a second invocation, /home/luyang/Documents/linux//Makefile: 260
Installation targets should not require compiler. Unfortunately, vdso_install, /home/luyang/Documents/linux//Makefile: 271
We cannot build single targets and the others at the same time, /home/luyang/Documents/linux//Makefile: 317
install and modules_install need also be processed one by one, /home/luyang/Documents/linux//Makefile: 332
===========================================================================, /home/luyang/Documents/linux//Makefile: 340
We're called with mixed targets (*config and build targets)., /home/luyang/Documents/linux//Makefile: 341
Read KERNELRELEASE from include/config/kernel.release (if it exists), /home/luyang/Documents/linux//Makefile: 359
Cross compiling and selecting different set of gcc/bin-utils, /home/luyang/Documents/linux//Makefile: 366
to the target architecture. (See arch/* for the possibilities)., /home/luyang/Documents/linux//Makefile: 370
ARCH can be set during invocation of make:, /home/luyang/Documents/linux//Makefile: 371
make ARCH=ia64, /home/luyang/Documents/linux//Makefile: 372
are prefixed with $(CROSS_COMPILE)., /home/luyang/Documents/linux//Makefile: 378
CROSS_COMPILE can be set on the command line, /home/luyang/Documents/linux//Makefile: 379
make CROSS_COMPILE=ia64-linux-, /home/luyang/Documents/linux//Makefile: 380
Alternatively CROSS_COMPILE can be set in the environment., /home/luyang/Documents/linux//Makefile: 381
Default value for CROSS_COMPILE is not to prefix executables, /home/luyang/Documents/linux//Makefile: 382
